Symbol,Name,Market,Country,Exchange
005930.KS,"Samsung Electronics Co., Ltd.",KOSPI,KR,KRX
000660.KS,SK hynix Inc.,KOSPI,KR,KRX
035420.KS,NAVER Corporation,KOSPI,KR,KRX
005490.KS,POSCO Holdings Inc.,KOSPI,KR,KRX
051910.KS,"LG Chem, Ltd.",KOSPI,KR,KRX
068270.KS,"Celltrion, Inc.",KOSPI,KR,KRX
035720.KS,Kakao Corp.,KOSPI,KR,KRX
012330.KS,"Hyundai Mobis Co.,Ltd",KOSPI,KR,KRX
028260.KS,Samsung C&T Corporation,KOSPI,KR,KRX
066570.KS,LG Electronics Inc.,KOSPI,KR,KRX
003670.KS,"Posco Future M Co., Ltd.",KOSPI,KR,KRX
096770.KS,"SK Innovation Co., Ltd.",KOSPI,KR,KRX
034730.KS,SK Inc.,KOSPI,KR,KRX
015760.KS,Korea Electric Power Corporation,KOSPI,KR,KRX
323410.KS,KakaoBank Corp.,KOSPI,KR,KRX
017670.KS,"SK Telecom Co., Ltd.",KOSPI,KR,KRX
030200.KS,KT Corporation,KOSPI,KR,KRX
036570.KS,NCSOFT Corporation,KOSPI,KR,KRX
033780.KS,KT&G Corporation,KOSPI,KR,KRX
018260.KS,"Samsung SDS Co., Ltd.",KOSPI,KR,KRX
011200.KS,"HMM Co.,Ltd",KOSPI,KR,KRX
086790.KS,Hana Financial Group Inc.,KOSPI,KR,KRX
161390.KS,"Hankook Tire & Technology Co., Ltd.",KOSPI,KR,KRX
024110.KS,Industrial Bank of Korea,KOSPI,KR,KRX
009830.KS,Hanwha Solutions Corporation,KOSPI,KR,KRX
047050.KS,Posco International Corporation,KOSPI,KR,KRX
271560.KS,ORION Corp.,KOSPI,KR,KRX
006400.KS,"Samsung SDI Co., Ltd.",KOSPI,KR,KRX
032830.KS,"Samsung Life Insurance Co., Ltd.",KOSPI,KR,KRX
010130.KS,"Korea Zinc Company, Ltd.",KOSPI,KR,KRX
003550.KS,LG Corp.,KOSPI,KR,KRX
029780.KS,"Samsung Card Co., Ltd.",KOSPI,KR,KRX
000270.KS,Kia Corporation,KOSPI,KR,KRX
051900.KS,"LG H&H Co., Ltd.",KOSPI,KR,KRX
267250.KS,"HD Hyundai Co., Ltd.",KOSPI,KR,KRX
042700.KS,"HANMI Semiconductor Co., Ltd.",KOSPI,KR,KRX
097950.KS,CJ Cheiljedang Corporation,KOSPI,KR,KRX
007070.KS,"GS Retail Co., Ltd.",KOSPI,KR,KRX
267260.KS,"HD Hyundai Electric Co., Ltd.",KOSPI,KR,KRX
251270.KS,Netmarble Corporation,KOSPI,KR,KRX
000810.KS,"Samsung Fire & Marine Insurance Co., Ltd.",KOSPI,KR,KRX
105560.KS,KB Financial Group Inc.,KOSPI,KR,KRX
055550.KS,"Shinhan Financial Group Co., Ltd.",KOSPI,KR,KRX
016360.KS,"Samsung Securities Co.,Ltd.",KOSPI,KR,KRX
090430.KS,Amorepacific Corporation,KOSPI,KR,KRX
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",KOSPI,KR,KRX
010950.KS,S-Oil Corporation,KOSPI,KR,KRX
018880.KS,Hanon Systems,KOSPI,KR,KRX
004020.KS,Hyundai Steel Company,KOSPI,KR,KRX
139480.KS,E-MART Inc.,KOSPI,KR,KRX
